lab,A1C,glucose,site,c_name,c_totalnum,c_basecode
,,,uthscsa,,,
,A1C,,,Hgb A1c MFr Bld Calc (17855-8),\N,LOINC:17855-8
,A1C,,,Hgb A1c MFr Bld HPLC (17856-6),\N,LOINC:17856-6
,A1C,,,Hgb A1c Bld-mCnc (41995-2),\N,LOINC:41995-2
,A1C,,,"Hgb A1c MFr Bld (4548-4) [69,244 facts; 15,573 patients]",15573,LOINC:4548-4
,A1C,,,Hgb A1c MFr Bld Elph (4549-2),\N,LOINC:4549-2
,A1C,,,Hgb A1c SFr Bld IFCC (59261-8),\N,LOINC:59261-8
,A1C,,,Hgb A1c MFr Bld JDS/JSCC (62388-4),\N,LOINC:62388-4
,,,,Hgb A1c MFr.DF Bld (71875-9),\N,LOINC:71875-9
,,,,"Hemoglobin A1c | Bld-Ser-Plas (LP100945-7) [69,244 facts; 15,573 patients]",15573,LOINC:LP100945-7
,A1C,,,"Hemoglobin A1c (LP16413-4) [69,244 facts; 15,573 patients]",15573,LOINC:LP16413-4
,,,mu,,,
,A1C,,,Hgb A1c SFr Bld Calc (17855-8),0,LOINC:17855-8
,A1C,,,Hgb A1c SFr Bld HPLC (17856-6),0,LOINC:17856-6
,A1C,,,Hgb A1c Bld-mCnc (41995-2),48816,LOINC:41995-2
,A1C,,,Hgb A1c SFr Bld (4548-4),0,LOINC:4548-4
,A1C,,,Hgb A1c SFr Bld Elph (4549-2),0,LOINC:4549-2
,A1C,,,Hgb A1c SFr Bld IFCC (59261-8),0,LOINC:59261-8
,,,,Hemoglobin A1c | Bld-Ser-Plas (LP100945-7),48816,LOINC:LP100945-7
,A1C,,,Hemoglobin A1c (LP16413-4),48816,LOINC:LP16413-4
,,,iu_lab,,,
,A1C,,,Hgb A1c MFr Bld Calc (17855-8),48,LOINC:17855-8
,A1C,,,Hgb A1c MFr Bld HPLC (17856-6),160873,LOINC:17856-6
,A1C,,,Hgb A1c Bld-mCnc (41995-2),0,LOINC:41995-2
,A1C,,,Hgb A1c MFr Bld (4548-4),71627,LOINC:4548-4
,A1C,,,Hgb A1c MFr Bld Elph (4549-2),0,LOINC:4549-2
,A1C,,,Hgb A1c SFr Bld IFCC (59261-8),0,LOINC:59261-8
,A1C,,,Hgb A1c MFr Bld JDS/JSCC (62388-4),0,LOINC:62388-4
,,,,Hgb A1c MFr.DF Bld (71875-9),0,LOINC:71875-9
,,,,Hemoglobin A1c | Bld-Ser-Plas (LP100945-7),213866,LOINC:LP100945-7
,A1C,,,Hemoglobin A1c (LP16413-4),213866,LOINC:LP16413-4
,,,umn,,,
,,,,Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:Calculated (LOINC:17855-8),0,\N
,,,,Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:HPLC (LOINC:17856-6),0,\N
,,,,Hemoglobin A1c:MCnc:Pt:Bld:Qn (LOINC:41995-2),0,\N
,,,,Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn (LOINC:4548-4),168791,\N
,,,,Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:Electrophoresis (LOINC:4549-2),0,\N
,,,,Hemoglobin A1c/Hemoglobin.total:SFr:Pt:Bld:Qn:IFCC (LOINC:59261-8),0,\N
,,,,Hemoglobin A1c/Hemoglobin.total:MFr:Pt:Bld:Qn:JDS/JSCC (LOINC:62388-4),0,\N
,,,,Hemoglobin A1c/Hemoglobin.total:MFr.DF:Pt:Bld:Qn (LOINC:71875-9),0,\N
glucose,,,,,,
,,,mcw,,,
,,random,,"GLUCOSE, 2 HR POST PRANDIAL (LOINC:1521-4) [ 3,569 facts / 3,182 patients ]",3182,LOINC:1521-4
,,fasting,,"GLUCOSE FASTING (LOINC:1558-6) [ 7,131 facts / 6,009 patients ]",6009,LOINC:1558-6
,,,,"GLUCOSE @11AM, SERUM (LOINC:16166-1) [ < 10 patients ]",0,LOINC:16166-1
,,,,"GLUCOSE @4PM, SERUM (LOINC:16169-5) [ < 10 patients ]",0,LOINC:16169-5
,,,,"Glucose, 1Hr (Maternal GTT) (LOINC:20441-2) [ 3,161 facts / 2,800 patients ]",2800,LOINC:20441-2
,,random,,WHOLE BLOOD GLUCOSE (LOINC:2339-0) [ < 10 patients ],0,LOINC:2339-0
,,random,,"CSF Glucose (Group:CSF-GLU) [ 16,432 facts / 8,271 patients ]",8271,LOINC:2342-4
,,,,"Fluid Glucose (Group:FGLU) [ 6,816 facts / 2,729 patients ]",2729,LOINC:2344-0
,,,,"FLUID GLUCOSE (LOINC:2344-0) [ 6,816 facts / 2,728 patients ]",2728,LOINC:2344-0
,,random,,"GLUCOSE, PLASMA (LOINC:2345-7) [ < 10 patients ]",0,LOINC:2345-7
,,,,"GLUCOSE,PLEURAL FLUID (LOINC:2346-5) [ < 10 patients ]",0,LOINC:2346-5
,,,,"GLUCOSE,PERITONEAL FLUID (LOINC:2347-3) [ < 10 patients ]",0,LOINC:2347-3
,,,,"GLUCOSE,SYNOVIAL FLUID (LOINC:2348-1) [ < 10 patients ]",0,LOINC:2348-1
,,,,GLUCOSE (LOINC:2349-9) [ < 10 patients ],0,LOINC:2349-9
,,,,Urine Glucose (Group:UGLU) [ < 10 patients ],0,LOINC:2350-7
,,,,URINE GLUCOSE (LOINC:2350-7) [ < 10 patients ],0,LOINC:2350-7
,,,,"URINE GLUCOSE, 24 HOUR (LOINC:2351-5) [ < 10 patients ]",0,LOINC:2351-5
,,,,"GLUCOSE,PERICARDIAL FLUID (LOINC:33405-2) [ < 10 patients ]",0,LOINC:33405-2
,,,,"UA-GLUCOSE (LOINC:5792-7) [ 743,863 facts / 234,534 patients ]",234534,LOINC:5792-7
,,,,"Glucose - UA (Group:UA-GLUC) [ 743,863 facts / 234,539 patients ]",234539,LOINC:5792-7
,,random,,"GLUCOSE (LOINC:6777-7) [ 5,330,557 facts / 369,495 patients ]",369495,LOINC:6777-7
,,random,,"Glucose (Group:GLU) [ 5,344,418 facts / 370,193 patients ]",370193,LOINC:6777-7
,,,,Glucose (LOINC:X1002-1) [ < 10 patients ],0,LOINC:X1002-1
,,,uiowa,,,
,,fasting,,"Glucose Tolerance Test (GTT) FASTING,MG/DL [ 4,789 patients]",4789,LOINC:1558-6
,,random,,"Glucose 2h p Glc SerPl-mCnc [ 5,120 patients]",5120,LOINC:20436-2
,,,,"glucose tolerance test (GTT) 3.0 HOUR,mg/dL [ 3,919 patients]",3919,LOINC:20437-0
,,,,"glucose tolerance test (GTT) 1 HOUR,mg/dL [ 12,548 patients]",12548,LOINC:20438-8
,,,,"glucose tolerance test (GTT) 1/2 HOUR,mg/dL [ 190 patients]",190,LOINC:20439-6
,,,,"glucose tolerance test (GTT) 1.5 HOUR,mg/dL [ 150 patients]",150,LOINC:20440-4
,,random,,"Glucose Bld-mCnc [ 399,497 patients]",399497,LOINC:2339-0
,,random,,"Glucose Bld-mCnc (Numeric) [ 399,480 patients]",399480,LOINC:2339-0:N
,,random,,Glucose Bld-mCnc (Text) [ 84 patients],84,LOINC:2339-0:T
,,random,,"GLUCOSE-CSF [ 20,918 patients]",20918,LOINC:2342-4
,,,,"Glucose Ur Ql Strip [ 30,952 patients]",30952,LOINC:25428-4
,,,,Glucose Ur Ql Strip (Numeric) [ 791 patients],791,LOINC:25428-4:N
,,,,"Glucose Ur Ql Strip (Text) [ 30,711 patients]",30711,LOINC:25428-4:T
,,random,,"EST AVG GLUCOSE [ 99,156 patients]",99156,LOINC:27353-2
,,,,"GLUCOSE-URINE,TOTAL/SPECIMEN, gms [ 19 patients]",19,LOINC:35662-6
,,,,"GLUCOSE, ACCU-CHEK, mg/dl [ 107,889 patients]",107889,LOINC:41653-7
,,,,"Glucose Ur Strip-mCnc [ 266,636 patients]",266636,LOINC:5792-7
,,,unmc,,,
,,random,,Glucose ,0,LOINC:10449-7
,,fasting,,Glucose ,0,LOINC:10450-5
,,fasting,,Glucose ,0,LOINC:10450-5
,,fasting,,Glucose ,0,LOINC:10450-5
,,fasting,,Glucose ,0,LOINC:10450-5
,,fasting,,Glucose ,0,LOINC:10450-5
,,fasting,,Glucose ,0,LOINC:10450-5
,,,,Glucose ,0,LOINC:10832-4
,,,,Glucose ,0,LOINC:10966-0
,,,,Glucose ,0,LOINC:10967-8
,,,,Glucose ,0,LOINC:10968-6
,,,,Glucose ,0,LOINC:11032-0
,,,,Glucose phosphate isomerase ,0,LOINC:11047-8
,,,,Glucose ,0,LOINC:11142-7
,,,,Glucose ,0,LOINC:11143-5
,,,,Glucose ,0,LOINC:12218-4
,,,,Glucose ,0,LOINC:12219-2
,,,,Glucose ,0,LOINC:12220-0
,,,,Glucose ,0,LOINC:12607-8
,,,,Glucose ,0,LOINC:12608-6
,,,,Glucose ,0,LOINC:12608-6
,,,,Glucose ,0,LOINC:12609-4
,,,,Glucose ,0,LOINC:12609-4
,,random,,Glucose ,0,LOINC:12610-2
,,,,Glucose ,0,LOINC:12611-0
,,,,Glucose ,0,LOINC:12612-8
,,,,Glucose ,0,LOINC:12613-6
,,,,Glucose ,0,LOINC:12614-4
,,,,Glucose ,0,LOINC:12615-1
,,,,Glucose ,0,LOINC:12616-9
,,,,Glucose ,0,LOINC:12617-7
,,,,Glucose ,0,LOINC:12618-5
,,,,Glucose ,0,LOINC:12619-3
,,,,Glucose ,0,LOINC:12620-1
,,,,Glucose ,0,LOINC:12621-9
,,,,Glucose ,0,LOINC:12622-7
,,,,Glucose ,0,LOINC:12623-5
,,,,Glucose ,0,LOINC:12624-3
,,,,Glucose ,0,LOINC:12625-0
,,,,Glucose ,0,LOINC:12626-8
,,,,Glucose ,0,LOINC:12627-6
,,,,Glucose ,0,LOINC:12628-4
,,,,Glucose ,0,LOINC:12629-2
,,,,Glucose ,0,LOINC:12630-0
,,,,Glucose ,0,LOINC:12631-8
,,,,Glucose ,0,LOINC:12632-6
,,,,Glucose ,0,LOINC:12633-4
,,,,Glucose ,0,LOINC:12634-2
,,,,Glucose ,0,LOINC:12635-9
,,,,Glucose ,0,LOINC:12636-7
,,,,Glucose ,0,LOINC:12637-5
,,,,Glucose ,0,LOINC:12638-3
,,,,Glucose ,0,LOINC:12639-1
,,,,Glucose ,0,LOINC:12640-9
,,,,Glucose ,0,LOINC:12641-7
,,,,Glucose ,0,LOINC:12642-5
,,,,Glucose ,0,LOINC:12643-3
,,,,Glucose ,0,LOINC:12644-1
,,,,Glucose ,0,LOINC:12645-8
,,random,,Glucose ,0,LOINC:12646-6
,,,,Glucose ,0,LOINC:12647-4
,,,,Glucose ,0,LOINC:12648-2
,,,,Glucose ,0,LOINC:12649-0
,,,,Glucose ,0,LOINC:12650-8
,,,,Glucose ,0,LOINC:12651-6
,,,,Glucose ,0,LOINC:12652-4
,,,,Glucose ,0,LOINC:12653-2
,,,,Glucose ,0,LOINC:12654-0
,,,,Glucose ,0,LOINC:12655-7
,,,,Glucose ,0,LOINC:12656-5
,,,,Glucose ,0,LOINC:12657-3
,,,,Glucose ,0,LOINC:12658-1
,,,,Glucose ,0,LOINC:12659-9
,,,,Glucose ,0,LOINC:13606-9
,,,,Glucose ,0,LOINC:13607-7
,,,,Glucose ,0,LOINC:13865-1
,,,,Glucose ,0,LOINC:13866-9
,,,,Glucose ,0,LOINC:14137-4
,,,,Glucose ,0,LOINC:14386-7
,,,,Glucose ,0,LOINC:14743-9
,,,,Glucose ,0,LOINC:14743-9
,,,,Glucose ,0,LOINC:14744-7
,,,,Glucose ,0,LOINC:14744-7
,,,,Glucose ,0,LOINC:14745-4
,,,,Glucose ,0,LOINC:14746-2
,,,,Glucose ,0,LOINC:14747-0
,,,,Glucose ,0,LOINC:14748-8
,,random,,Glucose ,0,LOINC:14749-6
,,,,Glucose ,0,LOINC:14750-4
,,,,Glucose ,0,LOINC:14750-4
,,,,Glucose ,0,LOINC:14751-2
,,,,Glucose ,0,LOINC:14752-0
,,,,Glucose ,0,LOINC:14753-8
,,,,Glucose ,0,LOINC:14753-8
,,,,Glucose ,0,LOINC:14753-8
,,,,Glucose ,0,LOINC:14753-8
,,,,Glucose ,0,LOINC:14753-8
,,,,Glucose ,0,LOINC:14753-8
,,,,Glucose ,0,LOINC:14754-6
,,,,Glucose ,0,LOINC:14754-6
,,,,Glucose ,0,LOINC:14754-6
,,,,Glucose ,0,LOINC:14754-6
,,,,Glucose ,0,LOINC:14754-6
,,,,Glucose ,0,LOINC:14754-6
,,,,Glucose ,0,LOINC:14755-3
,,,,Glucose ,0,LOINC:14756-1
,,,,Glucose ,0,LOINC:14756-1
,,,,Glucose ,0,LOINC:14756-1
,,,,Glucose ,0,LOINC:14756-1
,,,,Glucose ,0,LOINC:14756-1
,,,,Glucose ,0,LOINC:14756-1
,,,,Glucose ,0,LOINC:14757-9
,,,,Glucose ,0,LOINC:14757-9
,,,,Glucose ,0,LOINC:14757-9
,,,,Glucose ,0,LOINC:14757-9
,,,,Glucose ,0,LOINC:14757-9
,,,,Glucose ,0,LOINC:14757-9
,,,,Glucose ,0,LOINC:14758-7
,,,,Glucose ,0,LOINC:14759-5
,,,,Glucose ,0,LOINC:14759-5
,,,,Glucose ,0,LOINC:14759-5
,,,,Glucose ,0,LOINC:14759-5
,,,,Glucose ,0,LOINC:14759-5
,,,,Glucose ,0,LOINC:14759-5
,,,,Glucose ,0,LOINC:14760-3
,,,,Glucose ,0,LOINC:14761-1
,,,,Glucose ,0,LOINC:14762-9
,,,,Glucose ,0,LOINC:14763-7
,,,,Glucose ,0,LOINC:14764-5
,,,,Glucose ,0,LOINC:14764-5
,,,,Glucose ,0,LOINC:14764-5
,,,,Glucose ,0,LOINC:14764-5
,,,,Glucose ,0,LOINC:14764-5
,,,,Glucose ,0,LOINC:14764-5
,,,,Glucose ,0,LOINC:14765-2
,,,,Glucose ,0,LOINC:14765-2
,,,,Glucose ,0,LOINC:14765-2
,,,,Glucose ,0,LOINC:14765-2
,,,,Glucose ,0,LOINC:14765-2
,,,,Glucose ,0,LOINC:14765-2
,,,,Glucose ,0,LOINC:14766-0
,,,,Glucose ,0,LOINC:14767-8
,,,,Glucose ,0,LOINC:14768-6
,,fasting,,Glucose ,0,LOINC:14769-4
,,fasting,,Fasting glucose ,0,LOINC:14770-2
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,fasting,,Fasting glucose ,0,LOINC:14771-0
,,,,Glucose ,0,LOINC:1491-0
,,,,Glucose ,0,LOINC:1492-8
,,,,Glucose ,0,LOINC:1492-8
,,,,Glucose ,0,LOINC:1492-8
,,,,Glucose ,0,LOINC:1492-8
,,,,Glucose ,0,LOINC:1492-8
,,,,Glucose ,0,LOINC:1492-8
,,fasting,,Glucose ,0,LOINC:1493-6
,,,,Glucose ,0,LOINC:1494-4
,,,,Glucose ,0,LOINC:1494-4
,,,,Glucose ,0,LOINC:1494-4
,,,,Glucose ,0,LOINC:1494-4
,,,,Glucose ,0,LOINC:1494-4
,,,,Glucose ,0,LOINC:1494-4
,,,,Glucose ,0,LOINC:1495-1
,,,,Glucose ,0,LOINC:1496-9
,,,,Glucose ,0,LOINC:1496-9
,,,,Glucose ,0,LOINC:1496-9
,,,,Glucose ,0,LOINC:1496-9
,,,,Glucose ,0,LOINC:1496-9
,,,,Glucose ,0,LOINC:1496-9
,,,,Glucose ,0,LOINC:1497-7
,,,,Glucose ,0,LOINC:1498-5
,,,,Glucose ,0,LOINC:1499-3
,,,,Glucose ,0,LOINC:1499-3
,,,,Glucose ,0,LOINC:1499-3
,,,,Glucose ,0,LOINC:1499-3
,,,,Glucose ,0,LOINC:1499-3
,,,,Glucose ,0,LOINC:1499-3
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14995-5
,,,,Glucose ,0,LOINC:14996-3
,,,,Glucose ,0,LOINC:14996-3
,,,,Glucose ,0,LOINC:1500-8
,,,,Glucose ,0,LOINC:1501-6
,,,,Glucose ,0,LOINC:1501-6
,,,,Glucose ,0,LOINC:1501-6
,,,,Glucose ,0,LOINC:1501-6
,,,,Glucose ,0,LOINC:1501-6
,,,,Glucose ,0,LOINC:1501-6
,,,,Glucose ,0,LOINC:1503-2
,,random,,Glucose ,0,LOINC:1504-0
,,random,,Glucose ,0,LOINC:1504-0
,,random,,Glucose ,0,LOINC:1504-0
,,random,,Glucose ,0,LOINC:1504-0
,,random,,Glucose ,0,LOINC:1504-0
,,random,,Glucose ,0,LOINC:1504-0
,,,,Glucose ,0,LOINC:1505-7
,,random,,Glucose ,0,LOINC:1506-5
,,,,Glucose ,0,LOINC:1507-3
